,id,제목,제안 분야,제안 시작,제안 마감,투표 수,제안인
0,279,초과근무 줄이기!,일반행정,2019.10.16,2020.01.13,2,ㅁㄴㅁ
1,264,암행국(어)사제도 신설,사회통합,2019.09.07,2019.12.05,5,청류
2,260,시간선택제공무원 근무시간 확대와 관련된 규정 개정 요청,일반행정,2019.09.04,2019.12.02,14,청운
3,240,청와대공무직공개채용,일반행정,2019.08.28,2019.11.25,17,인생2모작
4,222,정부조직법 부처 개편 일부 개정안(추가 일부 변경),일반행정,2019.07.16,2019.10.13,2,jong176
5,214,연가 기부제 도입,일반행정,2019.06.24,2019.09.21,7,탱크
6,210,어린이집교사 근무환경개선,환경,2019.06.22,2019.09.19,7,꾸꾸바라기
7,207,육아시간 사용 관련 건의,보건복지,2019.06.20,2019.09.17,1,청운
8,169,체당금 관련 법안에 관해서 건의드립니다.,보건복지,2019.05.02,2019.07.30,13,꿀떵이맘
9,150,2019년 함안군문화시설사업소 기간제근로자(단순노무원) 채용계획 공고,국민참여,2019.02.09,2019.05.09,2,백우
10,149,사회복무요원  직무교육 내용 개선이 필요합니다,일반행정,2019.01.30,2019.04.29,4,국민위원활동
11,139,새해부터는 공무원들의 근무시간 특별히 점심시간을 잘 지켜주시는 제안을 합니다.,일반행정,2019.01.08,2019.04.07,6,걷자
12,82,복지시설 명칭재고,보건복지,2018.10.17,2019.01.14,1,활력
13,75,"서울특별시청소년수련관 직원정년나이 ,기관장(대표)과 같게 조례변경이 되어야 합니다",일반행정,2018.10.14,2019.01.11,9,백희
14,69,공무국외여행 경비절감 및 효율화 방안,반부패청렴,2018.10.08,2019.01.05,11,제안토론왕
15,61,국민생활  5일근무제로 함께 가자.,보건복지,2018.10.01,2018.12.29,0,"정부혁신제안,정부혁신토론"
16,49,공무원 조직경쟁력 강화 목적인 개방형직위 운용 체계를 휙기적으로 개선,일반행정,2018.09.28,2018.12.26,4,제안토론왕
17,35,장애인 주차공간에 대해 장애인 및 거동이 불편한 어르신 등을 챙기는 기관 근무자에게 권한 부여를 검토해 주세요.,보건복지,2018.09.07,2018.12.05,2,밀양인
18,32,종이 당직일지 이제는 안녕!,일반행정,2018.09.04,2018.12.02,167,
19,7,하계 반바지 허용 등 근무복장 자율화를 통한 생산적인 근무환경 조성,일반행정,2018.08.06,2018.09.05,5,통혁신
20,2,공무원 전입시험의 투명성 확보방안,반부패청렴,2018.08.01,2018.08.31,7,음지가양지된다
